seed,k,N,depth,xcoord,dist
2,5,5120,32,0.2,0.20844383537769318
2,6,6144,16,0.08333333333333333,0.12249941378831863
2,6,6144,17,0.08854166666666667,0.12843404710292816
2,6,6144,18,0.09375,0.13112978637218475
2,6,6144,19,0.09895833333333333,0.1508851945400238
2,6,6144,20,0.10416666666666667,0.14409483969211578
2,6,6144,21,0.109375,0.1448834240436554
2,6,6144,22,0.11458333333333333,0.15021149814128876
2,6,6144,23,0.11979166666666667,0.1505729705095291
2,6,6144,24,0.125,0.1556110978126526
2,6,6144,25,0.13020833333333334,0.1527266800403595
2,6,6144,26,0.13541666666666666,0.16776558756828308
2,6,6144,27,0.140625,0.16887769103050232
2,6,6144,28,0.14583333333333334,0.17934125661849976
2,6,6144,29,0.15104166666666666,0.17003226280212402
2,6,6144,30,0.15625,0.16878914833068848
2,6,6144,31,0.16145833333333334,0.16771996021270752
2,6,6144,32,0.16666666666666666,0.16819845139980316
2,7,7168,16,0.07142857142857142,0.1320548802614212
2,7,7168,17,0.07589285714285714,0.13036662340164185
2,7,7168,18,0.08035714285714286,0.1270952671766281
2,7,7168,19,0.08482142857142858,0.1320197433233261
2,7,7168,20,0.08928571428571429,0.1371839940547943
2,7,7168,21,0.09375,0.14225685596466064
2,7,7168,22,0.09821428571428571,0.14729724824428558
2,7,7168,23,0.10267857142857142,0.15051411092281342
2,7,7168,24,0.10714285714285714,0.14560182392597198
2,7,7168,25,0.11160714285714286,0.1480720490217209
2,7,7168,26,0.11607142857142858,0.17008379101753235
2,7,7168,27,0.12053571428571429,0.18460188806056976
2,7,7168,28,0.125,0.18965084850788116
2,7,7168,29,0.12946428571428573,0.18394510447978973
2,7,7168,30,0.13392857142857142,0.16991877555847168
2,7,7168,31,0.13839285714285715,0.15455906093120575
2,7,7168,32,0.14285714285714285,0.151190847158432
2,8,8192,16,0.0625,0.1355023980140686
2,8,8192,17,0.06640625,0.13240289688110352
2,8,8192,18,0.0703125,0.1388637274503708
2,8,8192,19,0.07421875,0.15403535962104797
2,8,8192,20,0.078125,0.15363408625125885
2,8,8192,21,0.08203125,0.16276632249355316
2,8,8192,22,0.0859375,0.1728755533695221
2,8,8192,23,0.08984375,0.17410892248153687
2,8,8192,24,0.09375,0.1671999990940094
2,8,8192,25,0.09765625,0.16563551127910614
2,8,8192,26,0.1015625,0.17474022507667542
2,8,8192,27,0.10546875,0.19863830506801605
2,8,8192,28,0.109375,0.224186509847641
2,8,8192,29,0.11328125,0.21136589348316193
2,8,8192,30,0.1171875,0.2051037698984146
2,8,8192,31,0.12109375,0.18576866388320923
2,8,8192,32,0.125,0.18268083035945892
2,9,9216,16,0.05555555555555555,0.1123390942811966
2,9,9216,17,0.059027777777777776,0.11548664420843124
2,9,9216,18,0.0625,0.12071444094181061
2,9,9216,19,0.06597222222222222,0.1259530782699585
2,9,9216,20,0.06944444444444445,0.12836191058158875
2,9,9216,21,0.07291666666666667,0.13486796617507935
2,9,9216,22,0.0763888888888889,0.14631377160549164
2,9,9216,23,0.0798611111111111,0.15361353754997253
2,9,9216,24,0.08333333333333333,0.1538216918706894
2,9,9216,25,0.08680555555555555,0.15464618802070618
2,9,9216,26,0.09027777777777778,0.16221223771572113
2,9,9216,27,0.09375,0.16099713742733002
2,9,9216,28,0.09722222222222222,0.1777445673942566
2,9,9216,29,0.10069444444444445,0.1689288467168808
2,9,9216,30,0.10416666666666667,0.16227379441261292
2,9,9216,31,0.1076388888888889,0.1562093049287796
2,9,9216,32,0.1111111111111111,0.1660154163837433
2,10,10240,16,0.05,0.11306551098823547
2,10,10240,17,0.053125,0.11593816429376602
2,10,10240,18,0.05625,0.13288286328315735
2,10,10240,19,0.059375,0.1596958339214325
2,10,10240,20,0.0625,0.16232356429100037
2,10,10240,21,0.065625,0.16786953806877136
2,10,10240,22,0.06875,0.1591680943965912
2,10,10240,23,0.071875,0.15897852182388306
2,10,10240,24,0.075,0.14767153561115265
2,10,10240,25,0.078125,0.15064853429794312
2,10,10240,26,0.08125,0.17606496810913086
2,10,10240,27,0.084375,0.18675634264945984
